"","product_group","year","exports"
"152","Animal","1998",13051.817
"153","Animal","1999",16753.139
"154","Animal","2000",18450.114
"155","Animal","2001",17489.024
"156","Animal","2002",10735.927
"157","Animal","2003",25289.044
"158","Animal","2004",30836.835
"159","Animal","2005",42345.607
"160","Animal","2006",46468.858
"161","Animal","2007",76939.084
"162","Animal","2008",99720.768
"163","Animal","2009",85158.313
"164","Animal","2010",124234.648
"165","Animal","2011",274796.425
"166","Animal","2012",294977.749
"167","Animal","2013",353526.309
"168","Animal","2014",411295.194
"169","Animal","2015",404731.611
"170","Animal","2016",384291.137
"171","Animal","2017",458673.615
"172","Animal","2018",511590.117
"173","Animal","2019",447328.659
"174","Animal","2020",401174.943
"175","Chemicals","1992",39159.424
"176","Chemicals","1993",60393.075
"177","Chemicals","1994",80708.179
"178","Chemicals","1995",122960.891
"179","Chemicals","1996",147104.513
"180","Chemicals","1997",166466.018
"181","Chemicals","1998",212300.025
"182","Chemicals","1999",211888.731
"183","Chemicals","2000",230476.565
"184","Chemicals","2001",296060.29
"185","Chemicals","2002",356318.868
"186","Chemicals","2003",425801.664
"187","Chemicals","2004",558725.826
"188","Chemicals","2005",703151.45
"189","Chemicals","2006",953054.373
"190","Chemicals","2007",1273198.789
"191","Chemicals","2008",1855415.291
"192","Chemicals","2009",1679612.174
"193","Chemicals","2010",2109074.223
"194","Chemicals","2011",3019687.434
"195","Chemicals","2012",3032014.741
"196","Chemicals","2013",3471491.241
"197","Chemicals","2014",3998820.231
"198","Chemicals","2015",3685517.18399999
"199","Chemicals","2016",3277324.375
"200","Chemicals","2017",3931450.005
"201","Chemicals","2018",4576265.544
"202","Chemicals","2019",4549420.468
"203","Chemicals","2020",4971349.452
"204","Food Products","1992",13571.187
"205","Food Products","1993",14480.527
"206","Food Products","1994",11797.837
"207","Food Products","1995",10145.01
"208","Food Products","1996",9582.469
"209","Food Products","1997",12878.762
"210","Food Products","1998",22655.593
"211","Food Products","1999",19471.647
"212","Food Products","2000",35910.42
"213","Food Products","2001",37417.527
"214","Food Products","2002",35451.337
"215","Food Products","2003",59551.684
"216","Food Products","2004",80459.699
"217","Food Products","2005",138279.349
"218","Food Products","2006",227416.601
"219","Food Products","2007",315270.179
"220","Food Products","2008",467579.595
"221","Food Products","2009",534373.614
"222","Food Products","2010",638991.715
"223","Food Products","2011",925191.427
"224","Food Products","2012",963513.904
"225","Food Products","2013",1122081.067
"226","Food Products","2014",1159363.939
"227","Food Products","2015",1018747.952
"228","Food Products","2016",911551.704999999
"229","Food Products","2017",991125.427
"230","Food Products","2018",1073350.719
"231","Food Products","2019",1179673.228
"232","Food Products","2020",1143987.837
"233","Footwear","1992",16408.35
"234","Footwear","1993",47797.078
"235","Footwear","1994",82331.332
"236","Footwear","1995",174211.383
"237","Footwear","1996",182280.604
"238","Footwear","1997",179388.707
"239","Footwear","1998",156746.422
"240","Footwear","1999",181036.53
"241","Footwear","2000",215338.709
"242","Footwear","2001",300121.362
"243","Footwear","2002",331969.307
"244","Footwear","2003",503392.491
"245","Footwear","2004",599321.278
"246","Footwear","2005",688299.176
"247","Footwear","2006",790774.947
"248","Footwear","2007",1010598.179
"249","Footwear","2008",1258321.591
"250","Footwear","2009",1493347.179
"251","Footwear","2010",2020504.308
"252","Footwear","2011",2652171.451
"253","Footwear","2012",3587442.37
"254","Footwear","2013",4014449.809
"255","Footwear","2014",5059646.521
"256","Footwear","2015",4884554.722
"257","Footwear","2016",3877413.421
"258","Footwear","2017",4113638.216
"259","Footwear","2018",4331843.047
"260","Footwear","2019",4580069.044
"261","Footwear","2020",4694619.168
"262","Fuels","1992",1965.001
