"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Forest rents (% of GDP)","NY.GDP.FRST.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000878296605410675","0.000734403892355818","0.000575271854100482","0.000491427131417883","0.00155209457207621","0.0016337333506629","0.00137948182569185","0.000925462733341636","0.000937353199073776","0.00116676045620415","0.000819358991065385","0.00100243912517378","0.000848486758287866","0.000717946084644347","0.000703181870217004","0.000712137437362349","0.000657229262514586","0.000699970185109785","0.000685497461216565","0.000653399781738063","0.000940949465840094","0.000918692037728531","0.000949223427263557","0.000967668246167683","0.00236128359145529","0.0019480556684067","0.00197258928180296","0.00223610685990329","0.00323541770715472","0.00238783952282852","0.00334392389804081","0.00282695847055913","0.00187491277347098","","","",
"Africa Eastern and Southern","AFE","Forest rents (% of GDP)","NY.GDP.FRST.RT.ZS","","","","","","","","","","","1.6508362098703","1.36555244602219","1.33800845125726","1.59957259142413","1.53085886469695","1.92730982033826","1.8033641175737","2.53153414078019","2.50143106825819","2.30057914529565","2.13256536397385","2.36648880959903","3.32775678583734","2.19707686036756","2.25282660124965","2.29782327680855","2.98538143417291","2.58916172600715","2.62487842030515","2.64833371821562","2.78832402456159","2.6751410650111","3.16616694245786","2.76481178524405","3.23425591938917","4.12512564409786","4.16345610083323","3.72158687814594","4.06368026614072","2.78450340344196","2.64051847255667","2.82977577074797","3.34720349996994","3.89995711788137","2.72238084971855","2.50513959224947","2.32686494872418","2.82087996695871","3.1487105277597","3.11048668223737","2.3236645810969","2.49367057076691","2.88237998447257","2.97321458227933","3.25739233650689","3.70849540836862","4.16328688160474","3.66137744830687","2.42120803569872","2.50036275479078","2.83936366464617","",
"Afghanistan","AFG","Forest rents (% of GDP)","NY.GDP.FRST.RT.ZS","","","","","","","","","","","0.285092592931616","0.344531632438489","0.397964352400362","0.768116118491502","0.80014135958111","0.812870514707115","0.773406219069318","0.602608672190489","0.750808819497988","0.571717711811002","0.59363727275136","0.443341413197274","","","","","","","","","","","","","","","","","","","","","0.959142383641002","0.664984576494598","0.388026076587756","0.33225089186171","0.453993504602121","0.342823373587779","0.35337260360069","0.274420606546217","0.359415504857452","0.309228784377023","0.265080869687184","0.265029250096815","0.267669074229398","0.301980808118487","0.351214676303539","0.287445620518945","0.300160885365271","0.332816376920438","0.378845516666845","",
"Africa Western and Central","AFW","Forest rents (% of GDP)","NY.GDP.FRST.RT.ZS","","","","","","","","","","","2.78692859233798","2.88743075253418","2.90015228563465","3.77525923492343","2.94235304796748","3.18556832259007","2.6006564347704","3.81868330189243","3.78391442071555","3.22343467805259","3.07916528455237","1.39973265569919","2.0005163973927","1.97508645045811","2.18489875667225","1.73334722634777","2.88891685996477","2.79928104244074","3.00656726523599","3.36083079803068","3.74678341067989","3.63055135468602","3.7464650896696","4.17720681004078","5.58902461313716","6.35423484622597","5.34986125033846","4.92414126745315","4.90616301002847","3.30998063273089","3.372194110738","3.05575642702469","3.08522621546351","3.9615177188641","2.66183052458408","2.37973178853746","2.01604884609367","2.37421104313219","2.42773055811327","2.60700414218469","2.07092110823329","2.08707608741584","2.21798379920327","2.04016786314164","2.19873760541941","2.49377404488024","2.91335915153531","3.01924490519914","2.03557817991873","1.84771667533179","1.95504043670945","",
"Angola","AGO","Forest rents (% of GDP)","NY.GDP.FRST.RT.ZS","","","","","","","","","","","","","","","","","","","","","1.51793342423967","1.28552097492701","1.42108486995201","1.0492207485942","0.939873643501449","0.686541012731156","1.0342966852354","0.910114882698301","0.874802640469235","0.810890482516766","0.996747466977363","","","","3.71708396433611","2.9735965815969","2.12769225830626","1.94355954100121","2.38511677776185","2.11765097815802","1.43271945525645","1.41730580829113","0.990786339908798","1.15531761764099","0.684223792252903","0.499938776784005","0.394642221545978","0.407882075942668","0.402778951710983","0.47124715193838","0.380673755626118","0.326084204118075","0.325358418005579","0.31185924501325","0.316547804506636","0.395873380497609","0.482591717255648","0.431453796523727","0.422098328621376","0.44830897340238","0.70807638177603","",
"Albania","ALB","Forest rents (% of GDP)","NY.GDP.FRST.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","1.61023672165786","1.67731196892833","1.76132778392702","1.66509885117764","1.9215564021322","1.60329888687601","1.46527977429442","3.58956396287462","6.45250272767533","0.483340689488308","0.232064890863287","0.183282315845104","0.144202904039405","0.197605219461879","0.118174363005729","0.0806154996299442","0.1266368254879","0.0626445552669587","0.0665511639276287","0.0629987181127032","0.0539967923094118","0.0478875225483296","0.0541548603089239","0.0747717350591442","0.0697141078399785","0.0748086642116774","0.0659767178336191","0.210223158893244","0.182521793387854","0.165152777882121","0.169255771950188","0.191365197128995","0.157023419524235","0.183385375908272","0.179928589649878","0.138103571493684","0.134493975056667","",
"Andorra","AND","Forest rents (% of GDP)","NY.GDP.FRST.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Arab World","ARB","Forest rents (% of GDP)","NY.GDP.FRST.RT.ZS","","","","","","","","","","","0.215647442741212","0.186715952013896","0.16457277872405","0.184079622419557","0.112227939367812","0.119389822873502","0.0779489577784462","0.11627858044364","0.12629228157978","0.0873682399246335","0.0773287118671228","0.0724577361134275","0.15526646012449","0.113369482440752","0.11036438420084","0.0536155178789071","0.124594260459492","0.117117374746631","0.12414600165858","0.120143435010193","0.0871567555991506","0.100324141176574","0.0868380879894932","0.0664137481897034","0.0649667404291473","0.0891766602003685","0.0847574672042339","0.0768515114489065","0.108620296161341","0.0537336368054287","0.038348713391486","0.0457120879350499","0.0488577218558797","0.0612569407963925","0.0482465952693492","0.0383062507096931","0.0399837297882629","0.0339651899249811","0.0451771491690971","0.0505840119928202","0.0500044723005176","0.098463374926141","0.112356938501193","0.135162118557917","0.174343262812869","0.206725851105723","0.239900216536886","0.273530629885665","0.0955445159541334","0.117213614678686","0.135340398041272","",
"United Arab Emirates","ARE","Forest rents (% of GDP)","NY.GDP.FRST.RT.ZS","","","","","","","","","","","","","","","","6.87425224787175E-05","5.12248262976873E-05","7.67063980378453E-05","0.000123098532438839","8.96825766986769E-05","8.63187335389284E-05","8.71708446231491E-05","0.000253798441776502","0.000211450870930032","0.000237587871462739","9.62050450558122E-05","0.000378527383317561","0.000371454945257847","0.000398781522032531","0.00035471325838375","0.000290644019957572","0.00029703578715815","0.000248537160644673","0.000178948331424618","0.000177977738477342","0.000243266647758717","0.000225018568996729","0.000215749857374886","0.000345584002246148","0.000134546918357895","0.000108195269826734","0.00012297572815534","0.000129308394230769","0.000164849766237438","0.000135463212835589","0.000108346530889034","0.00011088839223026","8.87381841450468E-05","0.000128494282955388","0.000156288564380119","0.000164967959298727","0.000157400418322899","0.000160645207040291","0.000135255944308147","0.000212581423424629","0.000218288929120352","0.000170189505176996","0.000194878315427996","9.00961064257815E-05","0.000123510144323136","0.00013035746789024","",
"Argentina","ARG","Forest rents (% of GDP)","NY.GDP.FRST.RT.ZS","","","","","","","","","","","0.0860481940930123","0.0968533665574538","0.108235844862287","0.101520310351569","0.0860778969537002","0.156207188298576","0.161683500779687","0.166456263460603","0.172823148154895","0.246365535787982","0.199018876258856","0.163457629713136","0.200133829470999","0.152022291916898","0.13595593985713","0.0980559275587293","0.0952504707827975","0.124668422606373","0.113729708711584","0.24736127410768","0.141839328470014","0.0992037122490864","0.0976869154475495","0.0893150853606411","0.0673489225547862","0.0968671855546396","0.0848379554097319","0.0664808676528273","0.0597857949536866","0.0506277101283815","0.0401203254772888","0.0391085681092495","0.19634831990674","0.142900638180915","0.106529554826482","0.0984485068174277","0.0999023967320448","0.0950823505513818","0.0868349874250687","0.0990603934121619","0.11896253886874","0.082494041612638","0.0925198826345951","0.109795255792533","0.0986089807500636","0.0993361250804531","0.115172366574513","0.122287596169807","0.142860008092984","0.154805337909438","0.177241046280974","",
