region,country,location_of_space,name_of_space,status,host_institution_name,year_opened,year_closed
EUR,Sweden,Lulea,Confucius Institute at Luleå Municipality and Luleå University of Technology,Closed,Luleå Municipality and Luleå University of Technology,2012,2020
EUR,Sweden,Borlange,Confucius Institute at Borlänge Municipality,Closed,Borlänge Municipality,2018,2020
EUR,Switzerland,Geneva,Confucius Institute at University of Geneva,Active,University of Geneva,2010,NA
EUR,Switzerland,Basel,Confucius Institute at University of Basel,Closed,University of Basel,2013,2020
SCA,Tajikistan,Dushanbe,Confucius Institute at Tajik National University,Active,Tajik National University,2008,NA
SCA,Tajikistan,Khujand,Confucius Institute at Mining Metallurgical Institute of Tajikistan,Active,Mining Metallurgical Institute of Tajikistan,2014,NA
EAP,Thailand,Chiang Mai,Confucius Institute at Chiang Mai University,Active,Chiang Mai University,2005,NA
EAP,Thailand,Bangkok,Confucius Institute at Kasetsart University,Active,Kasetsart University,2005,NA
EAP,Thailand,Chiang Rai,Confucius Institute at Mae Fah Luang University,Active,Mae Fah Luang University,2005,NA
EAP,Thailand,Bangkok,Confucius Institute at Bansomdejchaopraya Rajabhat University,Active,Bansomdejchaopraya Rajabhat University,2006,NA
EAP,Thailand,Betong,Confucius Institute at Betong Municipality,Active,Betong Municipality,2006,NA
EAP,Thailand,Chonburi,Confucius Institute at Burapha University,Active,Burapha University,2006,NA
EAP,Thailand,Bangkok,Confucius Institute at Chulalongkorn University,Active,Chulalongkorn University,2006,NA
EAP,Thailand,Khon Kaen,Confucius Institute at Khon Kaen University,Active,Khon Kaen University,2006,NA
EAP,Thailand,Maha Sarakham,Confucius Institute at Mahasarakham University,Active,Mahasarakham University,2006,NA
EAP,Thailand,Phuket,"Confucius Institute at Phuket, Prince of Songkla University",Active,"Phuket, Prince of Songkla University",2006,NA
EAP,Thailand,Songkhla,Confucius Institute at Prince of Songkla University,Active,Prince of Songkla University,2006,NA
EAP,Thailand,Suphanburi,Confucius Institute at Suan Dusit Rajabhat University,Active,Suan Dusit Rajabhat University,2006,NA
EAP,Thailand,Bangkok,Confucius Institute at Assumption University,Active,Assumption University,2014,NA
EAP,Thailand,Bangkok,Confucius Institute at Dhurakij Pundit University,Active,Dhurakij Pundit University,2015,NA
EAP,Thailand,Bangkok,Confucius Institute at Huachiew Chalermprakiet University,Active,Huachiew Chalermprakiet University,2015,NA
EAP,Thailand,Bangkok,Confucius Institute at Phranakhon Rajabhat University,Active,Phranakhon Rajabhat University,2018,NA
AF,Togo,Lomé,Confucius Institute at University of Lomé,Active,University of Lomé,2008,NA
WHA,Trinidad and Tobago,Port of Spain,"Confucius Institute at University of the West Indies, St. Augustine Campus",Active,"University of the West Indies, St. Augustine Campus",2013,NA
NEA,Tunisia,Tunis,Confucius Institute at University of Carthage,Active,University of Carthage,2018,NA
EUR,Turkey,Ankara,Confucius Institute at Middle East Technical University,Active,Middle East Technical University,2006,NA
EUR,Turkey,Istanbul,Confucius Institute at Bogazici University,Active,Bogazici University,2008,NA
EUR,Turkey,Istanbul,Confucius Institute at Okan University,Active,Okan University,2012,NA
EUR,Turkey,Istanbul,Confucius Institute at Yeditepe University,Active,Yeditepe University,2015,NA
AF,Uganda,Kampala,Confucius Institute at Makerere University,Active,Makerere University,2014,NA
EUR,Ukraine,Luhansk,Confucius Institute at Luhansk National Pedagogical University,Active,Luhansk National Pedagogical University,2006,NA
EUR,Ukraine,Kiev,Confucius Institute at National Taras Shevchenko University of Kyiv,Active,National Taras Shevchenko University of Kyiv,2007,NA
EUR,Ukraine,Kharkiv,Confucius Institute at Kharkiv State University,Active,Kharkiv State University,2008,NA
EUR,Ukraine,Odessa,Confucius Institute at South Ukrainian National Pedagogical University,Active,South Ukrainian National Pedagogical University,2011,NA
EUR,Ukraine,Kiev,Confucius Institute at Kiev State Linguistic University,Active,Kiev State Linguistic University,2013,NA
NEA,United Arab Emirates,Dubai,Confucius Institute at University of Dubai,Active,University of Dubai,2010,NA
NEA,United Arab Emirates,Abu Dhabi,Confucius Institute at Zayed University,Active,Zayed University,2010,NA
EUR,United Kingdom of Great Britain and Northern Ireland,London,Confucius Institute at London School of Economics and Political Science,Active,London School of Economics and Political Science,2006,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Edinburgh,Confucius Institute at University of Edinburgh,Active,University of Edinburgh,2006,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Manchester,Confucius Institute at University of Manchester,Active,University of Manchester,2006,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Sheffield,Confucius Institute at University of Sheffield,Active,University of Sheffield,2006,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Cardiff,Confucius Institute at Cardiff University,Active,Cardiff University,2007,NA
EUR,United Kingdom of Great Britain and Northern Ireland,London,Confucius Institute at London South Bank University,Active,London South Bank University,2007,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Nottingham,Confucius Institute at University of Nottingham,Active,University of Nottingham,2007,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Lampeter,Confucius Institute at University of Wales Trinity Saint David,Active,University of Wales Trinity Saint David,2007,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Preston,Confucius Institute at University of Central Lancashire,Active,University of Central Lancashire,2008,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Liverpool,Confucius Institute at University of Liverpool,Active,University of Liverpool,2008,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Lancaster,Confucius Institute at Lancaster University,Active,Lancaster University,2011,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Glasgow,Confucius Institute at University of Glasgow,Active,University of Glasgow,2011,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Southampton,Confucius Institute at University of Southampton,Active,University of Southampton,2011,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Belfast,Confucius Institute at University of Ulster,Active,University of Ulster,2011,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Bangor,Confucius Institute at Bangor University,Active,Bangor University,2012,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Ormskirk,Confucius Institute at Edge Hill University,Active,Edge Hill University,2012,NA
EUR,United Kingdom of Great Britain and Northern Ireland,London,"Confucius Institute at Goldsmiths College, University of London",Active,"Goldsmiths College, University of London",2012,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Newcastle,Confucius Institute at Newcastle University,Active,Newcastle University,2012,NA
EUR,United Kingdom of Great Britain and Northern Ireland,London,Confucius Institute at UCL Institute of Education,Active,UCL Institute of Education,2012,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Aberdeen,Confucius Institute at University of Aberdeen,Active,University of Aberdeen,2012,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Leeds,Confucius Institute at University of Leeds,Active,University of Leeds,2012,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Glasgow,Confucius institute for Scotland's Schools,Active,University of Strathclyde,2012,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Leicester,Confucius Institute at De Montfort University,Active,De Montfort University,2013,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Edinburgh,Confucius Institute at Heriot Watt University,Active,Heriot Watt University,2013,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Coventry,Confucius Institute at Coventry University,Active,Coventry University,2015,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Oxford,Confucius Institute at Oxford Brookes University,Active,Oxford Brookes University,2015,NA
EUR,United Kingdom of Great Britain and Northern Ireland,London,Confucius Institute at Queen Mary University of London,Active,Queen Mary University of London,2015,NA
EUR,United Kingdom of Great Britain and Northern Ireland,Hull,Confucius Institute at University of Hull,Active,University of Hull,2015,NA
AF,United Republic of Tanzania,Dodoma,Confucius Institute at University of Dodoma,Active,University of Dodoma,2012,NA
AF,United Republic of Tanzania,Dar es Salaam,Confucius Institute at University of Dar es Salaam,Active,University of Dar es Salaam,2013,NA
WHA,United States of America,College Park,Confucius Institute at University of Maryland,Closed,University of Maryland,2004,2020
WHA,United States of America,Providence,Confucius Institute at Bryant University,Closed,Bryant University,2006,2021
WHA,United States of America,Chicago,Confucius Institute at Chicago Public Schools,Active,Chicago Public Schools,2006,NA
WHA,United States of America,New York,Confucius Institute at China Institute,Active,China Institute,2006,NA
WHA,United States of America,East Lansing,Confucius Institute at Michigan State University,Closed,Michigan State University,2006,2021
WHA,United States of America,Raleigh,Confucius Institute at North Carolina State University,Closed,North Carolina State University,2006,2019
WHA,United States of America,San Francisco,Confucius Institute at San Francisco State University,Closed,San Francisco State University,2006,2019
WHA,United States of America,Los Angeles,"Confucius Institute at University of California, Los Angeles",Closed,"University of California, Los Angeles",2006,2020
WHA,United States of America,Honolulu,Confucius Institute at University of Hawaii at Manoa,Closed,University of Hawaii at Manoa,2006,2019
WHA,United States of America,Iowa City,Confucius Institute at University of Iowa,Closed,University of Iowa,2006,2018
WHA,United States of America,Overland Park,Confucius Institute at University of Kansas,Closed,University of Kansas,2006,2020
WHA,United States of America,Boston,Confucius Institute at University of Massachusetts at Boston,Closed,University of Massachusetts at Boston,2006,2019
WHA,United States of America,Norman,Confucius Institute at University of Oklahoma,Closed,University of Oklahoma,2006,2020
WHA,United States of America,Phoenix,Confucius Institute at Arizona State University,Closed,Arizona State University,2007,2019
WHA,United States of America,Denver,Confucius Institute at Community College of Denver,Closed,Community College of Denver,2007,2020
WHA,United States of America,Indianapolis,Confucius Institute at Indiana University–Purdue University Indianapolis (IUPUI),Closed,Indiana University–Purdue University Indianapolis (IUPUI),2007,2019
WHA,United States of America,Oxford,Confucius Institute at Miami University,Closed,Miami University,2007,2020
WHA,United States of America,Las Cruces,Confucius Institute at New Mexico State University,Closed,New Mexico State University,2007,2020
WHA,United States of America,Portland,Confucius Institute at Portland State University,Closed,Portland State University,2007,2021
WHA,United States of America,West Lafayette,Confucius Institute at Purdue University,Closed,Purdue University,2007,2018
WHA,United States of America,New Brunswick,Confucius Institute at Rutgers University,Closed,Rutgers University,2007,2020
WHA,United States of America,Troy,Confucius Institute at Troy University,Active,Troy University,2007,NA
WHA,United States of America,Tucson,Confucius Institute at University of Arizona,Closed,University of Arizona,2007,2020
WHA,United States of America,Conway,Confucius Institute at University of Central Arkansas,Closed,University of Central Arkansas,2007,2021
WHA,United States of America,Memphis,Confucius Institute at University of Memphis,Closed,University of Memphis,2007,2020
WHA,United States of America,Lincoln,Confucius Institute at University of Nebraska Lincoln,Closed,University of Nebraska Lincoln,2007,2020
WHA,United States of America,Pittsburgh,Confucius Institute at University of Pittsburgh,Closed,University of Pittsburgh,2007,2020
WHA,United States of America,Kingston,Confucius Institute at University of Rhode Island,Closed,University of Rhode Island,2007,2018
WHA,United States of America,Tampa,Confucius Institute at University of South Florida,Closed,University of South Florida,2007,2018
WHA,United States of America,Dallas,Confucius Institute at University of Texas at Dallas,Closed,University of Texas at Dallas,2007,2019
WHA,United States of America,Salt Lake City,Confucius Institute at University of Utah,Active,University of Utah,2007,NA
WHA,United States of America,Platteville,Confucius Institute at University of Wisconsin-Platteville,Closed,University of Wisconsin-Platteville,2007,2021
WHA,United States of America,Valparaiso,Confucius Institute at Valparaiso University,Closed,Valparaiso University,2007,2022
WHA,United States of America,Detroit,Confucius Institute at Wayne State University,Closed,Wayne State University,2007,2021
WHA,United States of America,St. Louis,Confucius Institute at Webster University,Active,Webster University,2007,NA
WHA,United States of America,Alfred,Confucius Institute at Alfred University,Active,Alfred University,2008,NA
WHA,United States of America,Atlanta,Confucius Institute at Emory University,Closed,Emory University,2008,2021
WHA,United States of America,Fairfax,Confucius Institute at George Mason University,Closed,George Mason University,2008,2020
WHA,United States of America,Kennesaw,Confucius Institute at Kennesaw State University,Closed,Kennesaw State University,2008,2019
WHA,United States of America,Charlotte,Confucius Institute at Pfeiffer University,Closed,Pfeiffer University,2008,2016
WHA,United States of America,Clinton,Confucius Institute at Presbyterian College,Active,Presbyterian College,2008,NA
WHA,United States of America,San Diego,Confucius Institute at San Diego State University,Closed,San Diego State University,2008,2019
