Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,ARM,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.265019425,0.26948156,0.46429817,0.587001273,0.31544704,0.325824777,0.114669585,0.177492136,0.293454325,0.299938082,0.591149485,0.033234597,0.021722905,0.010231363,0.015802557,0.009295978,0.213475225,0.374259981,2.65466288,2.923458164,1.490134089,1.097153902,0.306948917,0.760031512,0.221817708,0.245814089,1.093298247,2.201188696,2.483281395,
American Samoa,ASM,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,ATG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Australia,AUS,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,1.822274622,1.829708218,1.835207168,2.616001652,3.867919452,4.425581419,4.853635058,5.202355198,4.238852887,6.044116358,6.223122226,5.049784761,4.209488272,4.393849633,4.214642907,4.964805765,3.246925463,3.365711089,4.147321445,2.919960697,3.483265465,2.549693446,2.418012575,2.087931727,1.992354056,2.047258732,2.065820088,1.818105328,1.818760192,1.848067697,2.869597139,3.171152473,2.73476829,2.16291888,2.871694329,4.227571636,5.295461039,6.495600182,8.593194059,5.038693901,8.076665268,8.675037506,5.362241687,5.311125253,4.740528521,3.275622652,4.057301272,5.060707842,5.474623652,5.812376793,5.918441749,
Austria,AUT,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.376824717,0.340196708,0.329906949,0.408845645,0.631498046,0.588038511,0.612362958,0.487769882,0.45372055,0.618046129,0.640128399,0.561280527,0.43097129,0.436081639,0.421157746,0.425454309,0.242697773,0.204968746,0.211145408,0.270892602,0.256065989,0.166064782,0.129640356,0.124151784,0.120847606,0.114762146,0.137735706,0.123355327,0.093178947,0.095909494,0.155321533,0.160755557,0.161825581,0.156443563,0.131827965,0.150828216,0.195294189,0.222195385,0.251596483,0.169268159,0.225792608,0.271599608,0.254274196,0.224162919,0.188597857,0.134762918,0.112235849,0.127694328,0.144713201,0.113911596,0.088677299,
Azerbaijan,AZE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.22918411,41.66788365,21.7444325,22.58100253,14.70511617,4.442842282,15.94296418,33.8610987,27.16155533,25.49161853,25.82585191,28.34325926,37.74526235,42.12490613,39.10704923,41.29627682,28.62214772,32.13909403,35.15209726,31.27567364,26.93279703,22.91354351,14.5219617,15.33207677,20.97163339,29.35462409,25.48160194,18.80175323,
Burundi,BDI,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,6.751792437,5.38352192,6.30829521,8.735439996,8.534031306,9.728615079,8.015469412,12.50793833,11.65362791,8.383730409,8.978934965,7.578072364,10.81466419,6.542876239,6.778374701,5.93607795,8.575432433,9.32629776,10.38885776,10.65469444,13.37103254,12.69454593,14.02066839,14.23864858,17.06171534,24.02891351,28.92466302,23.62156395,27.01923838,15.41724374,15.06093519,18.81207809,24.30142546,40.49219521,30.45452019,26.46328696,23.94917947,32.35635676,33.04824404,30.33665757,23.8533749,24.98766731,17.52804737,17.49531308,17.44628107,15.53249535,18.44819641,18.27708227,12.60369115,12.85111218,12.40851593,
Belgium,BEL,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.166401943,0.154856074,0.124899778,0.111858736,0.143933073,0.245012495,0.26418996,0.217053847,0.163152192,0.136856281,0.137548744,0.201706087,0.25743283,0.198774631,0.167548035,0.159577178,0.09183226,0.054004998,0.038082894,0.045074466,0.045671319,0.02936404,0.0234753,0.025343151,0.023296733,0.02113787,0.022627243,0.020358752,0.023364084,0.022845658,0.024706355,0.020974551,0.023766904,0.02176687,0.015872887,0.015655384,0.017758347,0.019110516,0.018445637,0.017397981,0.019302669,0.019283615,0.01864599,0.019336891,0.020002311,0.01953802,0.018812664,0.016658566,0.019239121,0.015095994,0.016259559,
Benin,BEN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,6.707341245,5.793022976,5.340842756,7.26543586,7.300531866,8.248116961,7.170673517,11.97544818,9.875061911,7.167350843,7.31176044,8.15657849,10.45732679,8.838509174,10.40925084,8.954978453,7.697096052,7.332274866,6.883070787,8.023595912,7.735932394,7.043167373,8.900946183,5.673805212,9.071501843,9.13619432,8.296807257,7.92878639,7.485010276,3.232847874,3.390241186,3.169730519,3.388337606,4.175220669,3.125428293,3.046094644,3.048762094,3.626915046,3.648754647,3.702918328,3.42233007,3.478769033,3.916430014,3.515618529,3.7046153,4.304353298,4.455993864,4.107497454,2.460404125,2.482532858,2.321623341,
Burkina Faso,BFA,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,6.822118675,5.717049046,5.480045057,7.999926276,7.990758044,8.752817267,7.533902893,11.86027329,9.356168033,7.401511032,8.327283542,8.02474858,11.28259562,8.211244827,8.609823563,6.143025865,7.664691608,6.548260424,6.514320879,6.700208426,6.816252438,7.260463956,6.385943255,5.603071099,11.60330594,13.84372632,12.82650508,12.75842184,11.68355516,4.632223202,5.334608666,4.767832968,5.728161545,6.323634578,5.437260057,6.324784155,6.433447653,7.812924133,8.596970708,9.578453279,11.08609183,13.63583127,12.39207756,10.64952569,10.31090556,11.63285023,12.61551724,12.30990342,8.563762192,8.320733008,8.963170065,
